state,year,has_conflict,source_file,total_deaths,deaths_poaching,deaths_natural_other,deaths_scrutiny,deaths_seizure,deaths_unnatural_nonp,pct_adult_tiger_deaths,was_imputed,total_deaths_imputed,national_seizures
Madhya Pradesh,2023,False,tigerdeaths_unnaturalcauses,8.0,5.0,,,,3.0,,False,8.0,3.0
Madhya Pradesh,2024,False,tigerdeaths_unnaturalcauses,1.0,1.0,,,,,,False,1.0,
Maharashtra,2012,False,tigerdeaths_2012,14.0,7.0,3.0,4.0,,,,False,14.0,
Maharashtra,2013,False,tigerdeaths_2013,11.0,4.0,4.0,3.0,,,,False,11.0,
Maharashtra,2014,False,mortality_14-15,10.0,3.0,,7.0,,,,False,10.0,
Maharashtra,2016,False,tigerdeaths_16-18,8.0,,,,,,,False,8.0,
Maharashtra,2017,False,tigerdeaths_16-18,9.0,,,,,,,False,9.0,
Maharashtra,2018,False,tigerdeaths_16-18,4.0,,,,,,57.43,False,4.0,
Maharashtra,2019,False,mortality_19-21,18.0,,,,,,43.75,False,18.0,10.0
Maharashtra,2020,False,mortality_19-21|tigerdeaths_20-22,16.0,,,,,,20.75,False,16.0,4.0
Maharashtra,2021,True,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,27.0,5.0,,,,2.0,20.47,False,27.0,7.0
Maharashtra,2022,True,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,28.0,2.0,,,,2.0,49.59,False,28.0,5.0
Maharashtra,2023,False,tigerdeaths_unnaturalcauses,4.0,1.0,,,,3.0,,False,4.0,3.0
Maharashtra,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,4.0,
Nagaland,2019,False,mortality_19-21,0.0,,,,,,43.75,False,0.0,10.0
Nagaland,2020,False,mortality_19-21,0.0,,,,,,20.75,False,0.0,4.0
Nagaland,2021,False,mortality_19-21|tigerdeaths_unnaturalcauses,0.0,,,,,,20.47,False,0.0,7.0
Nagaland,2022,False,tigerdeaths_unnaturalcauses,,,,,,,49.59,True,0.0,5.0
Nagaland,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,3.0
